intersection_group,window_start,window_end,from_inter_id,turn_typ2to_inter,movement_count,total_count,movement_ratio
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,unknown,296,728,0.4065934065934066
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,l,332,3304,0.1004842615012106
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,r,298,3304,0.0901937046004842
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,s,1396,3304,0.4225181598062954
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,unknown,1278,3304,0.3868038740920096
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,l,57,433,0.1316397228637413
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,s,160,433,0.3695150115473441
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,unknown,216,433,0.4988452655889145
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,l,81,1724,0.046983758700696
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,r,336,1724,0.1948955916473317
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,s,536,1724,0.3109048723897912
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,unknown,771,1724,0.447215777262181
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,l,178,3177,0.0560276990871891
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,r,56,3177,0.017626691847655
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,s,1353,3177,0.4258734655335222
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,unknown,1590,3177,0.5004721435316336
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,l,487,1995,0.244110275689223
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,r,222,1995,0.1112781954887218
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,s,400,1995,0.200501253132832
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,unknown,886,1995,0.444110275689223
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,l,159,1918,0.0828988529718456
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,r,196,1918,0.1021897810218978
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,s,805,1918,0.4197080291970803
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,unknown,758,1918,0.3952033368091762
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,l,223,2699,0.0826231937754723
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,r,248,2699,0.091885883660615
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,s,1230,2699,0.4557243423490181
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,unknown,998,2699,0.3697665802148944
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,l,129,1966,0.065615462868769
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,r,332,1966,0.1688708036622584
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,s,469,1966,0.2385554425228891
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,unknown,1036,1966,0.5269582909460834
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,l,9,728,0.0123626373626373
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,r,205,728,0.2815934065934066
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,s,218,728,0.2994505494505494
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,unknown,296,728,0.4065934065934066
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,l,332,3304,0.1004842615012106
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,r,298,3304,0.0901937046004842
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,s,1396,3304,0.4225181598062954
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,unknown,1278,3304,0.3868038740920096
