intersection_group,movement_key,inter_id,approach_node,dir_code,direction,event_time_sec,green
15,215173_216287_s,215173,216287,s,직진,1257.0,0
15,215173_216287_s,215173,216287,s,직진,1257.0,0
15,215173_216287_s,215173,216287,s,직진,1257.0,0
15,215173_216287_s,215173,216287,s,직진,1257.0,0
15,215173_216287_s,215173,216287,s,직진,1500.0,1
15,215173_216287_s,215173,216287,s,직진,1500.0,1
15,215173_216287_s,215173,216287,s,직진,1500.0,1
15,215173_216287_s,215173,216287,s,직진,1500.0,1
15,215173_216287_s,215173,216287,s,직진,1557.0,0
15,215173_216287_s,215173,216287,s,직진,1557.0,0
15,215173_216287_s,215173,216287,s,직진,1557.0,0
15,215173_216287_s,215173,216287,s,직진,1557.0,0
15,215173_216287_s,215173,216287,s,직진,1680.0,1
15,215173_216287_s,215173,216287,s,직진,1680.0,1
15,215173_216287_s,215173,216287,s,직진,1680.0,1
15,215173_216287_s,215173,216287,s,직진,1680.0,1
15,215173_216287_s,215173,216287,s,직진,1737.0,0
15,215173_216287_s,215173,216287,s,직진,1737.0,0
15,215173_216287_s,215173,216287,s,직진,1737.0,0
15,215173_216287_s,215173,216287,s,직진,1737.0,0
15,215173_216287_s,215173,216287,s,직진,1980.0,1
15,215173_216287_s,215173,216287,s,직진,1980.0,1
15,215173_216287_s,215173,216287,s,직진,1980.0,1
15,215173_216287_s,215173,216287,s,직진,1980.0,1
15,215173_216287_s,215173,216287,s,직진,2037.0,0
15,215173_216287_s,215173,216287,s,직진,2037.0,0
15,215173_216287_s,215173,216287,s,직진,2037.0,0
15,215173_216287_s,215173,216287,s,직진,2037.0,0
15,215173_216287_s,215173,216287,s,직진,2160.0,1
15,215173_216287_s,215173,216287,s,직진,2160.0,1
15,215173_216287_s,215173,216287,s,직진,2160.0,1
15,215173_216287_s,215173,216287,s,직진,2160.0,1
15,215173_216287_s,215173,216287,s,직진,2217.0,0
15,215173_216287_s,215173,216287,s,직진,2217.0,0
15,215173_216287_s,215173,216287,s,직진,2217.0,0
15,215173_216287_s,215173,216287,s,직진,2217.0,0
15,215173_216287_s,215173,216287,s,직진,2460.0,1
15,215173_216287_s,215173,216287,s,직진,2460.0,1
15,215173_216287_s,215173,216287,s,직진,2460.0,1
15,215173_216287_s,215173,216287,s,직진,2460.0,1
15,215173_216287_s,215173,216287,s,직진,2517.0,0
15,215173_216287_s,215173,216287,s,직진,2517.0,0
15,215173_216287_s,215173,216287,s,직진,2517.0,0
15,215173_216287_s,215173,216287,s,직진,2517.0,0
15,215173_216287_s,215173,216287,s,직진,2940.0,1
15,215173_216287_s,215173,216287,s,직진,2940.0,1
15,215173_216287_s,215173,216287,s,직진,2940.0,1
15,215173_216287_s,215173,216287,s,직진,2940.0,1
15,215173_216287_s,215173,216287,s,직진,2997.0,0
15,215173_216287_s,215173,216287,s,직진,2997.0,0
15,215173_216287_s,215173,216287,s,직진,2997.0,0
15,215173_216287_s,215173,216287,s,직진,2997.0,0
15,215173_216287_s,215173,216287,s,직진,3420.0,1
15,215173_216287_s,215173,216287,s,직진,3420.0,1
15,215173_216287_s,215173,216287,s,직진,3420.0,1
15,215173_216287_s,215173,216287,s,직진,3420.0,1
15,215173_216287_s,215173,216287,s,직진,3477.0,0
15,215173_216287_s,215173,216287,s,직진,3477.0,0
15,215173_216287_s,215173,216287,s,직진,3477.0,0
15,215173_216287_s,215173,216287,s,직진,3477.0,0
15,215173_216288_l,215173,216288,l,좌회전,1020.0,1
15,215173_216288_l,215173,216288,l,좌회전,1077.0,0
15,215173_216288_l,215173,216288,l,좌회전,1320.0,1
15,215173_216288_l,215173,216288,l,좌회전,1377.0,0
15,215173_216288_l,215173,216288,l,좌회전,2280.0,1
15,215173_216288_l,215173,216288,l,좌회전,2337.0,0
15,215173_216288_l,215173,216288,l,좌회전,2640.0,1
15,215173_216288_l,215173,216288,l,좌회전,2697.0,0
15,215173_216288_l,215173,216288,l,좌회전,2760.0,1
15,215173_216288_l,215173,216288,l,좌회전,2817.0,0
15,215173_216288_l,215173,216288,l,좌회전,3120.0,1
15,215173_216288_l,215173,216288,l,좌회전,3177.0,0
15,215173_216288_l,215173,216288,l,좌회전,3240.0,1
15,215173_216288_l,215173,216288,l,좌회전,3297.0,0
15,215173_216288_r,215173,216288,r,우회전,0.0,1
15,215173_216288_r,215173,216288,r,우회전,3600.0,0
15,215173_216288_s,215173,216288,s,직진,180.0,1
15,215173_216288_s,215173,216288,s,직진,180.0,1
15,215173_216288_s,215173,216288,s,직진,180.0,1
15,215173_216288_s,215173,216288,s,직진,180.0,1
15,215173_216288_s,215173,216288,s,직진,237.0,0
15,215173_216288_s,215173,216288,s,직진,237.0,0
15,215173_216288_s,215173,216288,s,직진,237.0,0
15,215173_216288_s,215173,216288,s,직진,237.0,0
15,215173_216288_s,215173,216288,s,직진,357.0,1
15,215173_216288_s,215173,216288,s,직진,357.0,1
15,215173_216288_s,215173,216288,s,직진,357.0,1
15,215173_216288_s,215173,216288,s,직진,357.0,1
15,215173_216288_s,215173,216288,s,직진,417.0,0
15,215173_216288_s,215173,216288,s,직진,417.0,0
15,215173_216288_s,215173,216288,s,직진,417.0,0
15,215173_216288_s,215173,216288,s,직진,417.0,0
15,215173_216288_s,215173,216288,s,직진,480.0,1
15,215173_216288_s,215173,216288,s,직진,480.0,1
15,215173_216288_s,215173,216288,s,직진,480.0,1
15,215173_216288_s,215173,216288,s,직진,480.0,1
15,215173_216288_s,215173,216288,s,직진,537.0,0
15,215173_216288_s,215173,216288,s,직진,537.0,0
15,215173_216288_s,215173,216288,s,직진,537.0,0
15,215173_216288_s,215173,216288,s,직진,537.0,0
15,215173_216288_s,215173,216288,s,직진,660.0,1
15,215173_216288_s,215173,216288,s,직진,660.0,1
15,215173_216288_s,215173,216288,s,직진,660.0,1
15,215173_216288_s,215173,216288,s,직진,660.0,1
15,215173_216288_s,215173,216288,s,직진,717.0,0
15,215173_216288_s,215173,216288,s,직진,717.0,0
15,215173_216288_s,215173,216288,s,직진,717.0,0
15,215173_216288_s,215173,216288,s,직진,717.0,0
15,215173_216288_s,215173,216288,s,직진,837.0,1
15,215173_216288_s,215173,216288,s,직진,837.0,1
15,215173_216288_s,215173,216288,s,직진,837.0,1
15,215173_216288_s,215173,216288,s,직진,837.0,1
15,215173_216288_s,215173,216288,s,직진,897.0,0
15,215173_216288_s,215173,216288,s,직진,897.0,0
15,215173_216288_s,215173,216288,s,직진,897.0,0
15,215173_216288_s,215173,216288,s,직진,897.0,0
15,215173_216288_s,215173,216288,s,직진,960.0,1
15,215173_216288_s,215173,216288,s,직진,960.0,1
15,215173_216288_s,215173,216288,s,직진,960.0,1
15,215173_216288_s,215173,216288,s,직진,960.0,1
15,215173_216288_s,215173,216288,s,직진,1017.0,0
15,215173_216288_s,215173,216288,s,직진,1017.0,0
