intersection_group,window_start,window_end,from_inter_id,turn_typ2to_inter,movement_count,total_count,movement_ratio
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,unknown,1278,3304,0.38680387409200967
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,l,57,433,0.13163972286374134
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,s,160,433,0.3695150115473441
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,SN20220927003657G,unknown,216,433,0.49884526558891457
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,l,81,1724,0.04698375870069606
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,r,336,1724,0.19489559164733178
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,s,536,1724,0.3109048723897912
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214953,unknown,771,1724,0.447215777262181
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,l,178,3177,0.05602769908718917
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,r,56,3177,0.01762669184765502
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,s,1353,3177,0.4258734655335222
16,2022-05-09 08:00:00,2022-05-09 09:00:00,214964,unknown,1590,3177,0.5004721435316336
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,l,487,1995,0.24411027568922306
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,r,222,1995,0.11127819548872181
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,s,400,1995,0.20050125313283207
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215011,unknown,886,1995,0.44411027568922307
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,l,159,1918,0.08289885297184567
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,r,196,1918,0.10218978102189781
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,s,805,1918,0.4197080291970803
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,unknown,758,1918,0.39520333680917624
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,l,223,2699,0.08262319377547239
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,r,248,2699,0.09188588366061504
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,s,1230,2699,0.45572434234901815
16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,unknown,998,2699,0.3697665802148944
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,l,129,1966,0.06561546286876907
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,r,332,1966,0.1688708036622584
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,s,469,1966,0.23855544252288913
16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,unknown,1036,1966,0.5269582909460834
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,l,9,728,0.012362637362637362
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,r,205,728,0.2815934065934066
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,s,218,728,0.29945054945054944
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,unknown,296,728,0.4065934065934066
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,l,332,3304,0.10048426150121065
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,r,298,3304,0.09019370460048426
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,s,1396,3304,0.4225181598062954
16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,unknown,1278,3304,0.38680387409200967
