intersection_group,time_bin,vehicle_count,arrival_rate_per_min,mean_interarrival_sec,avg_speed,avg_delay,queue_ratio,long_queue_ratio,direction_imbalance,signal_imbalance,bottleneck_score
16,2022-05-09 06:20:00,853,170.6,0.3516998827667057,11.395909261482922,0.20122955025634154,0.0011723329425556857,0.0,0.15930121809928136,0.0,0.24267072773944343
16,2022-05-09 06:25:00,802,160.4,0.3740648379052369,11.737438760118204,0.184202456358723,0.0012468827930174563,0.0,0.15306185906804062,0.0,0.20287134207149093
16,2022-05-09 06:30:00,612,122.4,0.49019607843137253,11.613283114269766,0.17912935695910734,0.0032679738562091504,0.0,0.15222777564184714,0.0,0.20110639216686604
16,2022-05-09 06:35:00,1018,203.6,0.29469548133595286,11.548211496570476,0.1965375082042685,0.0,0.0,0.14545451036548415,0.0,0.2285185905047334
16,2022-05-09 06:40:00,1159,231.8,0.25884383088869717,11.792646684938875,0.17286472388607088,0.0,0.0,0.17242483143884266,0.0,0.22089592413747183
16,2022-05-09 06:45:00,625,125.0,0.48,11.43355229010982,0.198176382637177,0.0032,0.0,0.15568127999999998,0.0,0.22953012454804272
16,2022-05-09 06:50:00,1163,232.6,0.2579535683576956,11.578561608172038,0.18616137282096548,0.0025795356835769563,0.0,0.17550084321021703,0.0,0.25829747397974934
16,2022-05-09 06:55:00,1345,269.0,0.22304832713754646,11.938331683670919,0.16673022999899015,0.0022304832713754648,0.0,0.1933323198960766,0.0,0.24393581370844905
16,2022-05-09 07:00:00,805,161.0,0.37267080745341613,11.500082421270724,0.19525695758716496,0.0012422360248447205,0.0,0.14397747000501526,0.0,0.22003827269152146
16,2022-05-09 07:05:00,1047,209.4,0.28653295128939826,11.497168946698991,0.19839116858221653,0.0038204393505253103,0.0,0.1586330708833808,0.0,0.2610340734711097
16,2022-05-09 07:10:00,1240,248.0,0.24193548387096775,11.212789191324129,0.20801358073836518,0.0016129032258064516,0.0,0.15354578563995838,0.0,0.28473045564531335
16,2022-05-09 07:15:00,822,164.4,0.36496350364963503,11.381670745316342,0.20219006497994638,0.0036496350364963502,0.0,0.16037970412204522,0.0,0.25466396742905384
16,2022-05-09 07:20:00,1700,340.0,0.17647058823529413,11.445811576032874,0.1947402142707658,0.0017647058823529412,0.0,0.16883460207612458,0.0,0.30321705292047485
16,2022-05-09 07:25:00,1300,260.0,0.23076923076923078,11.115156928082968,0.21999765354059567,0.0015384615384615385,0.0,0.1481266272189349,0.0,0.3009281794028237
16,2022-05-09 07:30:00,931,186.2,0.322234156820623,11.347507446329049,0.2047486553540167,0.0,0.0,0.1469828476361996,0.0,0.2410351560517149
16,2022-05-09 07:35:00,1687,337.4,0.17783046828689983,11.51254294811186,0.1931164197758589,0.002963841138114997,0.0,0.15772378406089455,0.0,0.29668259056552176
16,2022-05-09 07:40:00,1643,328.6,0.18259281801582472,11.393056727595525,0.21640576048799579,0.004869141813755326,0.0,0.15140163788980643,0.0,0.3252558705613819
16,2022-05-09 07:45:00,1077,215.4,0.2785515320334262,11.415634202037964,0.20480790249406017,0.007428040854224698,0.0,0.14932379481847596,0.0,0.28510571175355415
16,2022-05-09 07:50:00,1771,354.2,0.16939582156973462,10.829535262784841,0.24116333426693984,0.002258610954263128,0.0,0.14083829410468746,0.0,0.36714154254907555
16,2022-05-09 07:55:00,1513,302.6,0.1982815598149372,11.029122384372883,0.2359164720014566,0.0039656311962987445,0.0,0.15078179024790217,0.0,0.34749359817303155
16,2022-05-09 08:00:00,1058,211.6,0.2835538752362949,11.420935188843847,0.2021747848198494,0.000945179584120983,0.0,0.14035648814862728,0.0,0.24467245431987567
16,2022-05-09 08:05:00,1929,385.8,0.15552099533437014,10.99350016833003,0.2282005452874046,0.002592016588906169,0.0,0.14418518903715383,0.0,0.36210445195059143
16,2022-05-09 08:10:00,1437,287.4,0.20876826722338204,10.542875665572172,0.2650430518786169,0.003479471120389701,0.0,0.14959207620065967,0.0,0.39002817570938597
16,2022-05-09 08:15:00,1128,225.6,0.26595744680851063,11.142515919112865,0.2112555997307515,0.0026595744680851063,0.0,0.13888102962627635,0.0,0.2799000854213409
16,2022-05-09 08:20:00,1848,369.6,0.16233766233766234,11.24767687069583,0.22507031786302178,0.003246753246753247,0.0,0.1515251072880943,0.0,0.34728809980795344
16,2022-05-09 08:25:00,1399,279.8,0.21443888491779842,10.683212147234672,0.24954973127227173,0.0035739814152966403,0.0,0.14920542141558277,0.0,0.36686111611634237
16,2022-05-09 08:30:00,1219,243.8,0.2461033634126333,10.981703396156407,0.22431626198218393,0.005742411812961444,0.0,0.1410878212819852,0.0,0.32234163769255497
16,2022-05-09 08:35:00,1536,307.2,0.1953125,11.33739169838543,0.22585474826949137,0.005859375,0.0,0.14847564697265625,0.0,0.3317299587201025
16,2022-05-09 08:40:00,1612,322.4,0.18610421836228289,11.018526589777823,0.23379090574749672,0.004342431761786601,0.0,0.15190506683742896,0.0,0.355804883876306
16,2022-05-09 08:45:00,1184,236.8,0.2533783783783784,11.08276653162845,0.2311350962343411,0.0033783783783783786,0.0,0.1389172639700511,0.0,0.30740457083376355
16,2022-05-09 08:50:00,1699,339.8,0.17657445556209536,11.087739299917681,0.22592183931730314,0.0017657445556209534,0.0,0.14835476049512905,0.0,0.3370789162579328
16,2022-05-09 08:55:00,1462,292.4,0.2051983584131327,10.359041900701364,0.2740196505969768,0.006155950752393981,0.0,0.1403910465022709,0.0,0.41701633844891833
16,2022-05-09 09:00:00,1153,230.6,0.26019080659150046,11.34361313134686,0.20690010892438174,0.0026019080659150044,0.0,0.13788307435860597,0.0,0.2662228835303554
16,2022-05-09 09:05:00,1257,251.4,0.2386634844868735,11.034621585983276,0.2312889118521149,0.005568814638027049,0.0,0.14585433742877596,0.0,0.3299663848084
16,2022-05-09 09:10:00,1351,270.2,0.22205773501110287,10.632069821556822,0.2519054022613855,0.0029607698001480384,0.0,0.14229720452706304,0.0,0.36124722506954704
16,2022-05-09 09:15:00,1027,205.4,0.2921129503407984,11.495619737852055,0.2029627455153315,0.004868549172346641,0.0,0.1387380075829905,0.0,0.257131237211572
16,2022-05-09 09:20:00,1744,348.8,0.1720183486238532,11.41670094703808,0.20306776822062184,0.0011467889908256881,0.0,0.15586269569059844,0.0,0.304472366240406
16,2022-05-09 09:25:00,1359,271.8,0.22075055187637968,10.876055894714076,0.23611188806437367,0.0029433406916850625,0.0,0.14111629282016544,0.0,0.3344706179452143
16,2022-05-09 09:30:00,1018,203.6,0.29469548133595286,11.041563003233298,0.22272029831747403,0.004911591355599214,0.0,0.14425218368000742,0.0,0.30122426380689193
16,2022-05-09 09:35:00,1427,285.4,0.2102312543798178,11.270536049502704,0.2115156116111186,0.004905395935529082,0.0,0.1484106939497498,0.0,0.3108469334796694
16,2022-05-09 09:40:00,1370,274.0,0.21897810218978103,11.150266412785806,0.23291544099952688,0.0036496350364963502,0.0,0.15506420160903617,0.0,0.3291320784096952
16,2022-05-09 09:45:00,994,198.8,0.30181086519114686,11.529586471542355,0.19698422244890398,0.008048289738430584,0.0,0.1430352740183556,0.0,0.2657706075307149
16,2022-05-09 09:50:00,1692,338.4,0.1773049645390071,11.218016136699621,0.22056562189831044,0.001182033096926714,0.0,0.1449436648055933,0.0,0.3201855399826748
16,2022-05-09 09:55:00,1355,271.0,0.22140221402214022,11.326007466579787,0.2251421877878826,0.0014760147601476014,0.0,0.1740962132868561,0.0,0.3124248990625323
16,2022-05-09 10:00:00,926,185.2,0.32397408207343414,11.43478683965908,0.20609992964611845,0.0032397408207343412,0.0,0.1373449519286837,0.0,0.24719459741392646
16,2022-05-09 10:05:00,1716,343.2,0.17482517482517482,11.197428959525515,0.21383014163454697,0.0005827505827505828,0.0,0.1541680929792818,0.0,0.3197610643387668
16,2022-05-09 10:10:00,1513,302.6,0.1982815598149372,11.027872667634474,0.2311999988319388,0.0019828155981493722,0.0,0.15925211288463192,0.0,0.33887579156570274
16,2022-05-09 10:15:00,951,190.2,0.31545741324921134,11.653961325236564,0.1860192140213292,0.0010515247108307045,0.0,0.14829815535365398,0.0,0.21586040830407122
